Given Name/ Prénom,Surname/Nom de famille,Known as/ Connu sous le nom,DoB/DdN,Age Last Birthday/ Âge dernier anniversaire,Favourite Colour/ Couleur préférée,Favourite Animal/ Animal préféré,Favourite Food/ Plat préféré,Gender/ Genre,Password/ Mot de passe,City/ Ville,Provinces-Territories/ Provinces-Territoires,Postal code/ Code postal,eMail/ Adresse électronique,Phone/ Téléphone,Mobile/ Portable ,Education level/ Niveau d'éducation, Salary/ Salaire ,Website Visits last 30 days/ Visites du site Web au cours des 30 derniers jours
Noah,Campbell,Noah,47-02-08,78,Beige,Fox,Bannock,Male/Mâle,ready49yes16,Perth-Andover,New Brunswick,E7H 3R6,campbellnoah47@gmail.com,506-359-3266,506-475-3651,High School Diploma,"$3,604 pcm",32
Adèle,Bouchard,Adèle,93-10-27,31,Jaune,Loup,Barres nanaimo,Female/Femelle,early4066it,Nanaimo,British Columbia,V9R 2R7,bouchardadele93@gmail.com,(236)-628 2329,250-751-1123,Bachelor,"$68,300 pa",17
Pierre ,Gagnon-Dion,Pierre ,81-04-04,43,Bleu,Cerf,Dîner Jiggs,Male/Mâle,IW1D473Wy2,Stephenville,Newfoundland,A2N 3Y1,pierregd81@outlook.com,709-643-3363,709-643-2424,High School Diploma,"$43,254 pa",28
Joseph Jacques Jean,Bergeron,Jean,67-03-14,57,Gris,Hibou,Saskatoon berry pie,LGBTQ2,eF'A1<5'70,Saskatoon ,Saskatchewan,S7K 3H5,theberge@proton.me,306-244-3803,306-242-0783,Masters,CND 7033.40 pcm,37
Liam Donald,Wilson,Liam,02-10-04,22,Purple,Moose,Donair,Male/Mâle,VN9^z+*F0Dq6,Halifax,Nova Scotia,HX1 5SP,liam04w@mailbox.org,902-580-6711,422 344 4546,High School Diploma,CND 3650 pcm,31
Emma,Martin,Emma,07-11-30,17,Green,Bison,Peameal Bacon,Female/Femelle,Cz[jVJ{a^HM{,Toronto,Ontario,M5J 2H2,emmam07@aol.com,416-203-8294,647-547-1907,na,na,9
Peyton,MacDonald,Peyton,62-05-15,62,Brown ,Beaver,Beaver Tail,Prefer not to say/Je préfère ne pas dire,25degree6room,Killaloe,Ontario,K0J 2A0,peytonmd@tutamail.com,613-281-2285,613-757-2237,Doctoral,"$100,000.00",47
Maria Anna Louise,Tremblay,Loiuse,00-09-27,24,Bruin,Outarde,Pouding chômeur,2SLGBTQI+,r8Knf?g60Dn5,Québec ,Québec ,G1W 2K5,family@tremblay.me,418-651-2727,418-653-7776,Bachelor,$6000 pcm,24
Grace,Johnson,Grace,23-01-30,102,White,Bear,Poutine,Female/Femelle,X!/Cs[5k2M:e,Montreal,Québec ,H1X 1P2,johnsongrace@gmail.com,514-725-9885,514-836-0784,College Diploma,"CND 48,599 pa",29
Jean-Luc,Gauthier,Jean-Luc,32-01-12,93,Red/Rouge,Boar/Sanglier,Pancakes/Crêpes,Two-Spirit/Bispirituel,own19settle64,Ottawa,Ontario,K1N 9N4,jlgauthier@yahoo.com,(613) 990-1985,613 727 0101,Bachelor,"CND 6,100 pcm",19
,,,,,,,,,,,,,,,,,,273
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
